"STATION","DATE","ACMC","ACMH","ACSC","ACSH","ADPT","ASLP","ASTP","AWBT","AWDR","AWND","DAEV","DAPR","DASF","DATN","DATX","DAWM","DWPR","EVAP","FMTM","FRGB","FRGT","FRTH","GAHT","MDEV","MDPR","MDSF","MDTN","MDTX","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SN01","SN02","SN03","SN11","SN12","SN13","SN14","SN21","SN22","SN23","SN31","SN32","SN33","SN34","SN35","SN36","SN51","SN52","SN53","SN54","SN55","SN56","SN57","SN61","SN72","SN81","SN82","SN83","SNOW","SNWD","SX01","SX02","SX03","SX11","SX12","SX13","SX14","SX15","SX17","SX21","SX22","SX23","SX31","SX32","SX33","SX34","SX35","SX36","SX51","SX52","SX53","SX54","SX55","SX56","SX57","SX61","SX72","SX81","SX82","SX83","TAVG","TAXN","THIC","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WESF","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03","WV07","WV18","WV20","alt","station_info","station_name","time"
"USW00023174","2024-03-17",,,,,"10.0","1017.6","1005.8","11.7",,"3.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   56","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.1",,,"18.9","10.0",,,,"  250","  260",,,,,,,,"8.1","10.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-18",,,,,"10.6","1016.9","1005.1","12.8",,"2.7",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   71","   53","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.8",,,"20.6","10.6",,,,"  240","  200",,,,,,,,"7.6","11.2",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-19",,,,,"11.1","1016.6","1004.7","13.3",,"2.8",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   77","   57","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.1",,,"20.0","12.2",,,,"  260","  230",,,,,,,,"6.7","8.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-20",,,,,"11.7","1016.3","1004.4","12.8",,"2.7",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   86","   70","   97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.6",,,"18.3","12.2",,,,"  250","  250",,,,,,,,"6.7","9.4",,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-21",,,,,"11.7","1018.6","1006.8","13.3",,"2.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   80","   68","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.0",,,"18.3","13.3",,,,"  250","  270",,,,,,,,"6.7","9.8",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-22",,,,,"11.7","1017.6","1005.4","13.3",,"3.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   82","   68","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.7",,,"18.3","11.7",,,,"  250","  260",,,,,,,,"6.7","8.9",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-23",,,,,"10.0","1011.2","999.3","11.7",,"7.9",,,,,,,,,,,,,,,,,,,,,,,"4.6",,"   76","   58","   97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.8",,,"16.7","11.7",,,,"  270","  260",,,,,,,,"17.0","21.5",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-24",,,,,"6.7","1009.5","997.6","10.0",,"5.7",,,,,,,,,,,,,,,,,,,,,,,"1.8",,"   66","   58","   81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.2",,,"16.7","10.0",,,,"  260","  260",,,,,,,,"17.0","21.0",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-25",,,,,"7.2","1013.2","1001.4","10.6",,"4.3",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   69","   50","   86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.4",,,"17.8","8.9",,,,"  260","  280",,,,,,,,"9.8","12.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-26",,,,,"9.4","1017.6","1005.8","11.7",,"3.5",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   60","   96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.4",,,"17.2","10.0",,,,"  260","  260",,,,,,,,"7.6","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-27",,,,,"10.0","1021.0","1008.8","11.7",,"3.0",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   80","   63","   92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.7",,,"17.8","10.0",,,,"  260","  230",,,,,,,,"7.2","9.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-28",,,,,"10.6","1017.6","1005.8","11.7",,"4.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   81","   70","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.6",,,"16.7","11.1",,,,"  250","  230",,,,,,,,"9.4","12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-29",,,,,"7.8","1012.5","1000.7","10.6",,"4.2",,,,,,,,,,,,,,,,,,,,,,,"3.6",,"   70","   50","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.3",,,"16.7","10.6",,,,"  130","  150",,,,,,,,"8.9","13.9",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-30",,,,,"9.4","1006.8","995.3","10.0",,"4.6",,,,,,,,,,,,,,,,,,,,,,,"47.5",,"   89","   77","  100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.2",,,"13.3","10.0",,,,"   90","  200",,,,,,,,"9.8","13.0",,,,"    1",,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-31",,,,,"8.3","1008.5","996.6","10.6",,"5.0",,,,,,,,,,,,,,,,,,,,,,,"0.3",,"   74","   58","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.0",,,"16.7","9.4",,,,"  100","  120",,,,,,,,"9.4","16.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-01",,,,,"8.9","1015.6","1003.7","11.7",,"3.9",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   71","   56","   81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.1",,,"17.2","11.1",,,,"  260","  270",,,,,,,,"10.3","13.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-02",,,,,"10.6","1023.4","1011.5","12.8",,"3.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   57","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.0",,,"20.0","10.0",,,,"  250","  260",,,,,,,,"7.2","9.4",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-03",,,,,"11.1","1019.6","1007.5","12.8",,"3.3",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   78","   56","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.5",,,"19.4","12.2",,,,"  260","  260",,,,,,,,"8.1","10.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-04",,,,,"7.8","1013.2","1001.4","10.6",,"5.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   71","   55","   87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.8",,,"16.1","10.6",,,,"  280","  270",,,,,,,,"12.5","15.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-05",,,,,"4.4","1014.9","1003.0","7.8",,"6.3",,,,,,,,,,,,,,,,,,,,,,,"2.0",,"   66","   53","   86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.2",,,"14.4","7.2",,,,"  270","  270",,,,,,,,"16.5","20.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-06",,,,,"3.9","1022.7","1010.8","7.8",,"3.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   58","   44","   73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.4",,,"16.7","6.1",,,,"  270","  260",,,,,,,,"8.1","10.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-07",,,,,"6.7","1017.6","1005.8","9.4",,"3.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   69","   47","   83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.5",,,"16.7","7.2",,,,"  250","  240",,,,,,,,"7.6","11.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-08",,,,,"7.8","1014.6","1002.4","11.1",,"3.9",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   63","   35","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.3",,,"20.0","8.3",,,,"  260","  260",,,,,,,,"13.4","16.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-09",,,,,"5.0","1017.3","1005.4","11.7",,"3.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   46","   18","   77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.6",,,"25.6","11.1",,,,"  270","  270",,,,,,,,"10.7","13.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-10",,,,,"10.0","1016.6","1004.7","12.8",,"3.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   67","   32","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.7",,,"23.3","12.2",,,,"  270","  250",,,,,,,,"6.3","8.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-11",,,,,"11.7","1012.2","1000.3","12.8",,"3.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   90","   76","  100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.4",,,"17.8","11.7",,,,"  240","  240",,,,,,,,"7.2","10.7",,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-12",,,,,"10.0","1013.2","1001.4","11.7",,"2.8",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   77","   62","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.1",,,"16.1","12.2",,,,"  180","  150",,,,,,,,"4.5","9.4",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-13",,,,,"8.3","1017.3","1005.1","10.6",,"5.2",,,,,,,,,,,,,,,,,,,,,,,"1.5",,"   71","   54","   89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.2",,,"17.2","8.9",,,,"  280","  200",,,,,,,,"10.7","19.2",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-14",,,,,"9.4","1019.6","1008.1","10.6",,"3.7",,,,,,,,,,,,,,,,,,,,,,,"9.7",,"   86","   70","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.8",,,"16.1","8.3",,,,"  240","  190",,,,,,,,"8.9","12.1",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-15",,,,,"9.4","1018.6","1006.4","11.7",,"3.2",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   79","   58","   97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.7",,,"16.7","8.3",,,,"  270","  270",,,,,,,,"8.1","10.7",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-16",,,,,"11.1","1016.6","1004.7","13.3",,"3.0",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   75","   53","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.2",,,"22.2","10.6",,,,"  260",,,,,,,,,"8.1",,,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-17",,,,,"12.2","1015.9","1004.1","13.3",,"2.8",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   86","   75","   97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.1",,,"18.3","11.1",,,,"  270","  280",,,,,,,,"6.7","8.9",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-18",,,,,"11.7","1015.2","1003.0","12.8",,"3.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   83","   70","  100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.4",,,"20.6","11.7",,,,"  230","  220",,,,,,,,"9.8","13.0",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-19",,,,,"10.6","1014.9","1003.0","12.8",,"3.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   67","   84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.2",,,"18.3","12.8",,,,"  260","  280",,,,,,,,"7.6","10.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-20",,,,,"11.1","1016.3","1004.4","12.8",,"3.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   79","   66","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.0",,,"18.3","13.3",,,,"  250","  270",,,,,,,,"7.6","13.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-21",,,,,"12.2","1014.6","1002.7","13.3",,"3.3",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   88","   78","   97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.6",,,"17.2","12.8",,,,"  270","  290",,,,,,,,"7.6","10.3",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-22",,,,,"12.8","1012.9","1001.0","13.9",,"2.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   89","   81","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.6",,,"16.1","13.9",,,,"  250","  250",,,,,,,,"6.3","8.9",,,,"    1",,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-23",,,,,"11.1","1016.3","1004.4","12.8",,"4.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   78","   63","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.1",,,"18.3","13.3",,,,"  260","  280",,,,,,,,"7.6","11.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-24",,,,,"10.6","1017.6","1005.8","12.8",,"4.9",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   73","   60","   81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.1",,,"17.8","13.3",,,,"  260","  270",,,,,,,,"9.8","12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-25",,,,,"10.6","1017.6","1005.8","12.2",,"4.7",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   58","   87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.9",,,"18.3","12.2",,,,"  260","  250",,,,,,,,"7.6","10.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-26",,,,,"10.6","1013.2","1001.0","12.8",,"5.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   74","   54","   84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.3",,,"18.9","12.8",,,,"  260","  260",,,,,,,,"15.7","18.8",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-27",,,,,"10.6","1014.9","1003.0","12.8",,"3.3",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   72","   54","   87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.3",,,"19.4","11.7",,,,"  270","  240",,,,,,,,"7.2","10.7",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-28",,,,,"11.1","1015.2","1003.0","13.3",,"3.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   75","   63","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.6",,,"20.0","11.1",,,,"  260","  250",,,,,,,,"7.2","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-29",,,,,"12.2","1012.2","1000.3","13.9",,"2.8",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   77","   65","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.2",,,"19.4","13.3",,,,"  250","  250",,,,,,,,"6.7","9.8",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-04-30",,,,,"12.8","1011.2","999.3","13.9",,"3.6",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   78","   63","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.6",,,"20.6","12.8",,,,"  250","  240",,,,,,,,"8.1","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-05-01",,,,,"12.2","1011.2","999.3","13.9",,"3.5",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   63","   84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.4",,,"20.0","14.4",,,,"  250","  280",,,,,,,,"7.6","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-05-02",,,,,"12.8","1012.2","1000.3","13.9",,"3.0",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   80","   68","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.1",,,"20.6","13.3",,,,"  250","  260",,,,,,,,"7.2","11.6",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-05-03",,,,,"12.2","1011.9","1000.0","13.9",,"3.7",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   77","   65","   87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.5",,,"20.0","14.4",,,,"  260","  260",,,,,,,,"7.6","9.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
